Category,Mutual Fund,Scheme Name,Regular Plan - Growth,Regular Plan - IDCW
Hybrid,DSP,DSP Equity & Bond Fund,100081,100082
Debt,DSP,DSP Liquidity Fund,103347,103348 (Weekly)
ETF,DSP,DSP Nifty 50 ETF,149392,N/A
ETF,DSP,DSP Gold ETF,151889*,N/A
Hybrid,Edelweiss,Edelweiss Balanced Advantage Fund,119565,119566
Equity,Edelweiss,Edelweiss Mid Cap Fund,109503,109504
Equity,Edelweiss,Edelweiss Small Cap Fund,145942,145943
Equity,Edelweiss,Edelweiss Flexi Cap Fund,132757,132758
Equity,Edelweiss,Edelweiss Large & Mid Cap Fund,109511,109512
Equity,Edelweiss,Edelweiss ELSS Tax Saver Fund,111166,111167
Debt,Edelweiss,Edelweiss Liquid Fund,109497,109498
Hybrid,Edelweiss,Edelweiss Arbitrage Fund,130547,130548
Equity,Edelweiss,Edelweiss Nifty 50 Index Fund,112474,N/A
Equity,Edelweiss,Edelweiss Technology Fund,153163*,N/A
Equity,Edelweiss,Edelweiss Recently Listed IPO Fund,141974,141975
Hybrid,Edelweiss,Edelweiss Multi Asset Allocation Fund,151833,151834
Equity,Franklin India,Franklin India Bluechip Fund,100424,100423
Equity,Franklin India,Franklin India Flexi Cap Fund,100356,100354
Equity,Franklin India,Franklin India Prima Fund,100363,100361
Equity,Franklin India,Franklin India Smaller Companies Fund,100407,100404
Equity,Franklin India,Franklin India ELSS Tax Saver Fund,100650,100649
Equity,Franklin India,Franklin India Focused Equity Fund,108194,108195
Equity,Franklin India,Franklin Build India Fund,112112,112113
Equity,Franklin India,Franklin India Feeder - Franklin U.S. Opportunities Fund,116568,116569
Debt,Franklin India,Franklin India Liquid Fund,100612*,100613 (Weekly)
Debt,Franklin India,Franklin India Corporate Debt Fund,100595,100593 (Annual)
Equity,Groww,Groww Large Cap Fund,118471,118472
Equity,Groww,Groww Value Fund,135340,135339
Equity,Groww,Groww Nifty Total Market Index Fund,152092*,N/A
Equity,Groww,Groww ELSS Tax Saver Fund,141807,141806
Equity,Groww,Groww Flexi Cap Fund,155690*,155691
Debt,Groww,Groww Liquid Fund,118473,"13491 (Daily)

13492 (Weekly)"
Debt,Groww,Groww Overnight Fund,146930,146931
Debt,Groww,Groww Short Duration Fund,118475,118476
ETF,Groww,Groww Gold ETF,152957,N/A
ETF,Groww,Groww Nifty 50 ETF,153699,N/A
Equity,HDFC,HDFC Top 100 Fund,102036,102037
Equity,HDFC,HDFC Flexi Cap Fund,101625,101626
Equity,HDFC,HDFC Mid Cap Fund,104430,104429
Equity,HDFC,HDFC Small Cap Fund,108538,108539
Equity,HDFC,HDFC ELSS Tax Saver Fund,101979,101978
Equity,HDFC,HDFC Focused Fund,103138,103139
Hybrid,HDFC,HDFC Balanced Advantage Fund,100414,100413
Hybrid,HDFC,HDFC Hybrid Equity Fund,102948,102947
Debt,HDFC,HDFC Liquid Fund,103328,103329
Debt,HDFC,HDFC Corporate Bond Fund,113197,113198
ETF,HDFC,HDFC Gold ETF,113042,N/A
ETF,HDFC,HDFC Silver ETF,150556,N/A
ETF,HDFC,HDFC Nifty 50 ETF,132899,N/A
ETF,HDFC,HDFC Nifty 100 ETF,150914,N/A
Equity,Helios,Helios Flexi Cap Fund,INF0R8701012,INF0R8701020
Debt,Helios,Helios Overnight Fund,INF0R8701095,INF0R8701103
Hybrid,Helios,Helios Balanced Advantage Fund,INF0R8701111,INF0R8701129
Equity,Helios,Helios Financial Services Fund,INF0R8701178,INF0R8701186
Equity,Helios,Helios Large & Mid Cap Fund,INF0R8701236,INF0R8701244
Equity,Helios,Helios Mid Cap Fund,INF0R8701319,INF0R8701335
Equity,HSBC,HSBC Small Cap Fund,129223,129221
Equity,HSBC,HSBC Midcap Fund,102839,102840
Equity,HSBC,HSBC Flexi Cap Fund,102252,102251
Equity,HSBC,HSBC Large Cap Fund,101594,101593
Equity,HSBC,HSBC Value Fund,118102,118103
Equity,HSBC,HSBC ELSS Tax Saver Fund,118047,118048
Equity,HSBC,HSBC Focused Fund,148408,148409
Equity,HSBC,HSBC Multi Cap Fund,151287*,151288
Hybrid,HSBC,HSBC Balanced Advantage Fund,113115,113117
Hybrid,HSBC,HSBC Aggressive Hybrid Fund,113123,113125
Debt,HSBC,HSBC Liquid Fund,118902,118903 (Monthly)
Debt,HSBC,HSBC Corporate Bond Fund,112410,112414 (Quarterly)
Equity,ICICI Prudential,ICICI Prudential Bluechip Fund,101452,101451
Equity,ICICI Prudential,ICICI Prudential Value Discovery Fund,100352,100353
Equity,ICICI Prudential,ICICI Prudential Flexi Cap Fund,148991,148992
Equity,ICICI Prudential,ICICI Prudential Midcap Fund,100357,100358
Equity,ICICI Prudential,ICICI Prudential Small Cap Fund,107775,107776
Equity,ICICI Prudential,ICICI Prudential Focused Equity Fund,112447,112448
Equity,ICICI Prudential,ICICI Prudential ELSS Tax Saver Fund,100363,100365
Equity,ICICI Prudential,ICICI Prudential Technology Fund,100368,100369
Hybrid,ICICI Prudential,ICICI Prudential Balanced Advantage Fund,101188,101189
Hybrid,ICICI Prudential,ICICI Prudential Multi Asset Fund,101037,101038
Hybrid,ICICI Prudential,ICICI Prudential Equity & Debt Fund,100351,100350
Debt,ICICI Prudential,ICICI Prudential Liquid Fund,100347,100348 (Weekly)
ETF,ICICI Prudential,ICICI Prudential Nifty 50 ETF,120689,N/A
Equity,ICICI Prudential,ICICI Prudential Nifty 50 Index Fund,101449,101450
Equity,Invesco India,Invesco India Contra Fund,105213,105214
Equity,Invesco India,Invesco India Midcap Fund,105217,105218
Equity,Invesco India,Invesco India Smallcap Fund,145242,145243
Equity,Invesco India,Invesco India Multicap Fund,106109,106110
Equity,Invesco India,Invesco India ELSS Tax Saver Fund,105223,105224
Equity,Invesco India,Invesco India Large & Mid Cap Fund,105215,105216
Equity,Invesco India,Invesco India Focused 20 Equity Fund,147685,147686
Equity,Invesco India,Invesco India PSU Equity Fund,112022,112023
Equity,Invesco India,Invesco India Infrastructure Fund,105806,105807
Equity,Invesco India,Invesco India Financial Services Fund,106632,106633
Hybrid,Invesco India,Invesco India Arbitrage Fund,105225,105226
Hybrid,Invesco India,Invesco India Balanced Advantage Fund,105227,105228
Debt,Invesco India,Invesco India Liquid Fund,116062,116064 (Monthly)
Equity,ITI,ITI Multi Cap Fund,147182,147180
Equity,ITI,ITI Small Cap Fund,147918,147916
Equity,ITI,ITI Mid Cap Fund,148732,148730
Equity,ITI,ITI Large Cap Fund,148352,148350
Equity,ITI,ITI ELSS Tax Saver Fund,147540,147538
Equity,ITI,ITI Value Fund,148971,148969
Equity,ITI,ITI Focused Fund,151776,151775
Equity,ITI,ITI Flexi Cap Fund,151378,N/A
Hybrid,ITI,ITI Balanced Advantage Fund,147788,147786
Equity,ITI,ITI Pharma & Healthcare Fund,149267,149265
Equity,ITI,ITI Banking & Financial Services Fund,149320,149318
Debt,ITI,ITI Liquid Fund,146682,146683 (Daily)
Debt,ITI,ITI Dynamic Bond Fund,149028,149026
Debt,ITI,ITI Banking & PSU Debt Fund,148533,148531
Equity,JM Financial,JM Midcap Fund,150812,150813
Equity,JM Financial,JM Flexicap Fund,100377,100378
Equity,JM Financial,JM Value Fund,100254,106168
Equity,JM Financial,JM Large Cap Fund,100219,100218
Equity,JM Financial,JM ELSS Tax Saver Fund,100389,100390
Equity,JM Financial,JM Focused Fund,100385,100386
Hybrid,JM Financial,JM Aggressive Hybrid Fund,100221,100220
Hybrid,JM Financial,JM Arbitrage Fund,100393,100394
Debt,JM Financial,JM Liquid Fund,100397,100398 (Weekly)
Debt,JM Financial,JM Overnight Fund,147833,147834
Equity,Kotak Mahindra,Kotak Flexicap Fund,INF174K01336,INF174K01302
Equity,Kotak Mahindra,Kotak Emerging Equity Fund,INF174K01DS9,INF174K01DP5
Equity,Kotak Mahindra,Kotak Small Cap Fund,INF174K01211,INF174K01195
Equity,Kotak Mahindra,Kotak Bluechip Fund,INF174K01153,INF174K01120
Equity,Kotak Mahindra,Kotak Equity Opportunities Fund,INF174K01187,INF174K01161
Equity,Kotak Mahindra,Kotak ELSS Tax Saver Fund,INF174K01278,INF174K01245
Hybrid,Kotak Mahindra,Kotak Balanced Advantage Fund,INF174K01XW4,INF174K01XX2
Hybrid,Kotak Mahindra,Kotak Equity Hybrid Fund,INF174K01393,INF174K01369
Debt,Kotak Mahindra,Kotak Liquid Fund,INF174K01NI9,INF174K01NJ7 (Weekly)
Debt,Kotak Mahindra,Kotak Bond Fund,INF174K01096,INF174K01062
ETF,Kotak Mahindra,Kotak Gold ETF,INF174K01104,N/A
ETF,Kotak Mahindra,Kotak Nifty 50 ETF,INF174K01450,N/A
Equity,LIC,LIC MF Large & Mid Cap Fund,133711,133712
Equity,LIC,LIC MF Small Cap Fund,152003,152001
Equity,LIC,LIC MF Midcap Fund,152001*,151999
Equity,LIC,LIC MF Multi Cap Fund,150658,150656
Equity,LIC,LIC MF Flexi Cap Fund,INF767K01071 (ISIN),INF767K01014 (ISIN)
Equity,LIC,LIC MF Large Cap Fund,INF767K01105 (ISIN),INF767K01121 (ISIN)
Equity,LIC,LIC MF ELSS Tax Saver Fund,INF767K01956 (ISIN),INF767K01931 (ISIN)
Equity,LIC,LIC MF Infrastructure Fund,INF767K01501 (ISIN),INF767K01485 (ISIN)
Equity,LIC,LIC MF Banking & Financial Services,INF767K01NG4 (ISIN),INF767K01NH2 (ISIN)
Hybrid,LIC,LIC MF Balanced Advantage Fund,149260,149258
Hybrid,LIC,LIC MF Aggressive Hybrid Fund,INF767K01097 (ISIN),INF767K01022 (ISIN)
Debt,LIC,LIC MF Liquid Fund,INF767K01055 (ISIN),INF767K01030 (ISIN)
Equity,Mahindra Manulife,Mahindra Manulife Multi Cap Fund,INF174V01317,INF174V01325
Equity,Mahindra Manulife,Mahindra Manulife Mid Cap Fund,INF174V01473,INF174V01499
Equity,Mahindra Manulife,Mahindra Manulife Small Cap Fund,INF174V01BH3,INF174V01BI1
Equity,Mahindra Manulife,Mahindra Manulife Flexi Cap Fund,INF174V01AP8,INF174V01AQ6
Equity,Mahindra Manulife,Mahindra Manulife Large Cap Fund,INF174V01705,INF174V01713
Equity,Mahindra Manulife,Mahindra Manulife ELSS Tax Saver Fund,INF174V01077,INF174V01085
Equity,Mahindra Manulife,Mahindra Manulife Focused Fund,INF174V01AD4,INF174V01AE2
Equity,Mahindra Manulife,Mahindra Manulife Large & Mid Cap Fund,INF174V01929,INF174V01937
Equity,Mahindra Manulife,Mahindra Manulife Consumption Fund,INF174V01648,INF174V01655
Hybrid,Mahindra Manulife,Mahindra Manulife Aggressive Hybrid Fund,INF174V01762,INF174V01770
Hybrid,Mahindra Manulife,Mahindra Manulife Balanced Advantage Fund,INF174V01BB6,INF174V01BC4
Debt,Mahindra Manulife,Mahindra Manulife Liquid Fund,INF174V01010,INF174V01028 (Daily)
Equity,Mirae Asset,Mirae Asset Large Cap Fund,108466,108467
Equity,Mirae Asset,Mirae Asset Emerging Bluechip Fund,112927,112928
Equity,Mirae Asset,Mirae Asset ELSS Tax Saver Fund,135783,135784
Equity,Mirae Asset,Mirae Asset Midcap Fund,147444,147443
Equity,Mirae Asset,Mirae Asset Focused Fund,147205,147204
Equity,Mirae Asset,Mirae Asset Great Consumer Fund,113133,113134
Equity,Mirae Asset,Mirae Asset Healthcare Fund,143782,143781
Equity,Mirae Asset,Mirae Asset Flexi Cap Fund,151411,151410
Equity,Mirae Asset,Mirae Asset Multicap Fund,151809,151808
Hybrid,Mirae Asset,Mirae Asset Aggressive Hybrid Fund,134812,134814
Hybrid,Mirae Asset,Mirae Asset Balanced Advantage Fund,150469,150468
Debt,Mirae Asset,Mirae Asset Liquid Fund,107567,107568
Equity,Mirae Asset,Mirae Asset Banking & Financial Services Fund,148622,148621
ETF,Mirae Asset,Mirae Asset Nifty 50 ETF,145551,N/A
Equity,Motilal Oswal,Motilal Oswal Flexi Cap Fund,129043,129044
Equity,Motilal Oswal,Motilal Oswal Midcap Fund,127039,127040
Equity,Motilal Oswal,Motilal Oswal Focused Fund,122386,122387
Equity,Motilal Oswal,Motilal Oswal ELSS Tax Saver Fund,133383,133384
Equity,Motilal Oswal,Motilal Oswal Large and Midcap Fund,147702,147703
Equity,Motilal Oswal,Motilal Oswal Small Cap Fund,152236,152234
Hybrid,Motilal Oswal,Motilal Oswal Balanced Advantage Fund,139869,139870
Debt,Motilal Oswal,Motilal Oswal Liquid Fund,145833,145832 (Daily)
Equity,Motilal Oswal,Motilal Oswal Nasdaq 100 FOF,145551,145550
Equity,Motilal Oswal,Motilal Oswal Nifty 50 Index Fund,147793,N/A
Equity,Motilal Oswal,Motilal Oswal Nifty Midcap 150 Index Fund,147621,N/A
Equity,Motilal Oswal,Motilal Oswal Nifty 500 Index Fund,147624,N/A
ETF,Motilal Oswal,Motilal Oswal Nasdaq 100 ETF,115560,N/A
Equity,Navi,Navi Nifty 50 Index Fund,149040,N/A
Equity,Navi,Navi Nifty Next 50 Index Fund,149448,N/A
Equity,Navi,Navi US Total Stock Market FoF,149831,N/A
Equity,Navi,Navi Nasdaq 100 Fund of Fund,149911,N/A
Equity,Navi,Navi ELSS Tax Saver Fund,135655,135652
Equity,Navi,Navi Flexi Cap Fund,143787,143794
Equity,Navi,Navi Large & Midcap Fund,135678,141410
Hybrid,Navi,Navi Aggressive Hybrid Fund,143162,143189
Debt,Navi,Navi Liquid Fund,112636,"112647 (Monthly)

112645 (Daily)"
Equity,Nippon India,Nippon India Small Cap Fund,118778,118779
Equity,Nippon India,Nippon India Growth Fund,101566,101567
Equity,Nippon India,Nippon India Large Cap Fund,102986,102987
Equity,Nippon India,Nippon India Multi Cap Fund,103023,103024
Equity,Nippon India,Nippon India ELSS Tax Saver Fund,103282,103283
Equity,Nippon India,Nippon India Flexi Cap Fund,148888,148889
Equity,Nippon India,Nippon India Focused Equity Fund,106198,106199
Equity,Nippon India,Nippon India Pharma Fund,102998,102999
Equity,Nippon India,Nippon India Banking & Financial Services Fund,102994,102995
Hybrid,Nippon India,Nippon India Balanced Advantage Fund,103009,103010
Hybrid,Nippon India,Nippon India Equity Hybrid Fund,103027,103028
Hybrid,Nippon India,Nippon India Arbitrage Fund,109670,109671
Debt,Nippon India,Nippon India Liquid Fund,100511,100512 (Weekly)
ETF,Nippon India,Nippon India ETF Nifty 50 BeES,100236,N/A
ETF,Nippon India,Nippon India ETF Gold BeES,100346,N/A
Hybrid,NJ,NJ Balanced Advantage Fund,149266,149263
Equity,NJ,NJ Flexi Cap Fund,151920,151919
Equity,NJ,NJ ELSS Tax Saver Scheme,151609,151610
Hybrid,NJ,NJ Arbitrage Fund,150366,N/A
Debt,NJ,NJ Overnight Fund,150368,N/A
Equity,Old Bridge ,Old Bridge Focused Fund,INF0S5R01034,INF0S5R01026*
Hybrid,Old Bridge ,Old Bridge Arbitrage Fund,INF0S5R01091,INF0S5R01109
Equity,Old Bridge ,Old Bridge Flexi Cap Fund,NFO / Launching Soon,NFO / Launching Soon
Equity,PGIM India,PGIM India Flexi Cap Fund,133836,133838
Equity,PGIM India,PGIM India Midcap Fund,125305,125306
Equity,PGIM India,PGIM India ELSS Tax Saver Fund,135598,135599
Equity,PGIM India,PGIM India Large Cap Fund,138308,138307
Equity,PGIM India,PGIM India Small Cap Fund,INF663L01W30 (ISIN),INF663L01W14 (ISIN)
Equity,PGIM India,PGIM India Global Equity Opportunities,113727,113728
Hybrid,PGIM India,PGIM India Hybrid Equity Fund,100403,100404
Hybrid,PGIM India,PGIM India Balanced Advantage Fund,148657,148655
Debt,PGIM India,PGIM India Liquid Fund,108372,108373 (Weekly)
Hybrid,PGIM India,PGIM India Arbitrage Fund,129045,129046
Equity,Parag Parikh ,Parag Parikh Flexi Cap Fund,122639,122641
Equity,Parag Parikh ,Parag Parikh ELSS Tax Saver Fund,147551,147553
Hybrid,Parag Parikh ,Parag Parikh Conservative Hybrid Fund,149127,149129 (Monthly)
Hybrid,Parag Parikh ,Parag Parikh Dynamic Asset Allocation Fund,152601,152603
Hybrid,Parag Parikh ,Parag Parikh Arbitrage Fund,152202,152204
Debt,Parag Parikh ,Parag Parikh Liquid Fund,143229,143232 (Monthly)
Equity,Quant,Quant Small Cap Fund,120826,120825
Equity,Quant,Quant Active Fund (Multi Cap),120828,120827
Equity,Quant,Quant Flexi Cap Fund,120833,120834
Equity,Quant,Quant Mid Cap Fund,120844,120843
Equity,Quant,Quant ELSS Tax Saver Fund,100175,100174
Equity,Quant,Quant Large & Mid Cap Fund,120841,120842
Equity,Quant,Quant Focused Fund,120847,120846
Equity,Quant,Quant Infrastructure Fund,120836,120837
Equity,Quant,Quant Quantamental Fund,149427,149428
Hybrid,Quant,Quant Absolute Fund (Aggressive Hybrid),120830,120829
Hybrid,Quant,Quant Multi Asset Fund,120838,120839
Debt,Quant,Quant Liquid Fund,120823,120824
Equity,Quantum ,Quantum Value Fund,141068,141069
Equity,Quantum ,Quantum Small Cap Fund,152108,152109
Hybrid,Quantum ,Quantum Gold Savings Fund,141064,N/A
Debt,Quantum ,Quantum Liquid Fund,141059,141060 (Monthly)
Equity,Quantum ,Quantum ELSS Tax Saver Fund,141071,141070
Equity,Quantum ,Quantum Equity Fund of Funds,141063,141062
Hybrid,Quantum ,Quantum Multi Asset Fund of Funds,141072,141073
Debt,Quantum ,Quantum Dynamic Bond Fund,141061,141055
Equity,Quantum ,Quantum ESG Best In Class Strategy Fund,147371,147370
Hybrid,Quantum ,Quantum Multi Asset Allocation Fund,152472*,152470
Equity,Samco,Samco Flexi Cap Fund,INF0K1H01016,N/A
Equity,Samco,Samco ELSS Tax Saver Fund,INF0K1H01057,N/A
Equity,Samco,Samco Active Momentum Fund,INF0K1H01073,N/A
Debt,Samco,Samco Overnight Fund,INF0K1H01032,N/A
Hybrid,Samco,Samco Dynamic Asset Allocation Fund,INF0K1H01099,N/A
Equity,Samco,Samco Special Opportunities Fund,INF0K1H01172,N/A
Equity,SBI,SBI Bluechip Fund,103525,103526
Equity,SBI,SBI Small Cap Fund,109635,109636
Equity,SBI,SBI Contra Fund,102170,102171
Equity,SBI,SBI Focused Fund,103362,103363
Equity,SBI,SBI Midcap Fund,103006,103007
Equity,SBI,SBI ELSS Tax Saver Fund,102008,102009
Equity,SBI,SBI Flexicap Fund,103445,103446
Equity,SBI,SBI Large & Midcap Fund,100552,100553
Hybrid,SBI,SBI Equity Hybrid Fund,100522,100523
Hybrid,SBI,SBI Balanced Advantage Fund,149131,149132
Debt,SBI,SBI Liquid Fund,100539,100540 (Weekly)
ETF,SBI,SBI Gold ETF,113063,N/A
ETF,SBI,SBI Nifty 50 ETF,134375,N/A
Equity,Shriram,Shriram Flexi Cap Fund,INF680P01109*,INF680P01117
Equity,Shriram,Shriram ELSS Tax Saver Fund,INF680P01133,INF680P01141
Hybrid,Shriram,Shriram Aggressive Hybrid Fund,INF680P01034,INF680P01018
Hybrid,Shriram,Shriram Balanced Advantage Fund,INF680P01174,INF680P01182
Hybrid,Shriram,Shriram Multi Asset Allocation Fund,INF680P01414,INF680P01422
Debt,Shriram,Shriram Liquid Fund,INF680P01448,INF680P01455
Debt,Shriram,Shriram Overnight Fund,INF680P01307,INF680P01315
Equity,Sundaram,Sundaram Mid Cap Fund,101539,101538
Equity,Sundaram,Sundaram Small Cap Fund,109303,109304
Equity,Sundaram,Sundaram Large Cap Fund,148504,148505
Equity,Sundaram,Sundaram Large & Mid Cap Fund,109299,109300
Equity,Sundaram,Sundaram ELSS Tax Saver Fund,100586,100587
Equity,Sundaram,Sundaram Flexi Cap Fund,149769*,149770
Equity,Sundaram,Sundaram Multi Cap Fund,100580,100581
Equity,Sundaram,Sundaram Focused Fund,100583,100584
Hybrid,Sundaram,Sundaram Aggressive Hybrid Fund,INF173K01CL8 (ISIN),INF173K01CM6 (ISIN)
Hybrid,Sundaram,Sundaram Balanced Advantage Fund,INF173K01EH2 (ISIN),INF173K01EI0 (ISIN)
Debt,Sundaram,Sundaram Liquid Fund,INF173K01DA9 (ISIN),INF173K01DD3 (ISIN)
Equity,Tata,Tata Large Cap Fund,INF277K01931,INF277K01088
Equity,Tata,Tata Ethical Fund,INF277K01956,INF277K01964
Equity,Tata,Tata Flexi Cap Fund,INF277K019K2,INF277K019L0
Equity,Tata,Tata Mid Cap Fund,INF277K01972,INF277K01980
