Fund Name,Category,Subcategory,Plan,1Y Return (%),3Y Return (%),5Y Return (%),Benchmark Name,Benchmark 1Y (%),Benchmark 3Y (%),Benchmark 5Y (%),Alpha,Beta,Sharpe Ratio,Std Dev,Mean Return (%),YTM (%),Modified Duration (yrs),Avg Credit Rating,Avg Maturity (yrs),Top Holdings Count,Fund URL,ISIN,Scheme Code,No. of Stocks,Top 10 Stocks (%),Top 5 Stocks (%),Top 3 Sectors (%),P/B Ratio,P/E Ratio,Alpha Score(4),Sharpe Score(4),Sortino Score(4),RiskAdj Perf(12),StdDev Score(4),MeanRet Score(4),Beta Score(2),Vol & Return(10),NumStocks Score(2),Top10 Score(2),Top5 Score(2),Top3Sec Score(2),Diversification(8),PE Score(3),PB Score(3),Valuation(6),YTM Score(1),Duration Score(1),Maturity Score(1),Credit Score(1),Debt Quality(4),Total Score(40),Risk Category,Fund Rating
ICICI Pru Strategic Metal and Energy Equity FoF Dir,solution-oriented,Equity: International,Direct,52.53,29.71,,BSE 500 TRI,0.79,13.68,,,,1.28,19.55,30.9,,,,,1,https://www.valueresearchonline.com/funds/42035/,INF109KC1Z55,149455,,,,,,,1,3,1,5,1,4,1,6,1,1,1,1,4,1,1,2,0,0,0,0,0,17,Moderately High Risk,Average
ICICI Pru US Bluechip Equity Dir,solution-oriented,Equity: International,Direct,18.03,13.26,11,BSE 500 TRI,0.79,13.68,12.33,,,0.73,13.89,16,,,,,25,https://www.valueresearchonline.com/funds/17160/,INF109K01Z71,120186,,,,,,,1,2,1,4,2,3,1,6,1.5,1,1,1,4.5,1,1.5,2.5,0,0,0,0,0,17.0,Moderately High Risk,Average
Invesco India-Invesco EQQQ NASDAQ-100 ETF FoF Dir,solution-oriented,Equity: International,Direct,44.73,31.43,,BSE 500 TRI,0.79,13.68,,,,1.39,18.66,31.87,,,,,1,https://www.valueresearchonline.com/funds/42218/,INF205KA1585,149961,,,,,,,1,3,1,5,1,4,1,6,1,1,1,1,4,1,1,2,0,0,0,0,0,17,Moderately High Risk,Average
Invesco India-Invesco Global Consumer Trends FoF Dir,solution-oriented,Equity: International,Direct,34.19,27.66,5.53,BSE 500 TRI,0.79,13.68,12.33,,,0.91,27.18,30.49,,,,,1,https://www.valueresearchonline.com/funds/41229/,INF205KA1270,148614,,,,,,,1,2,1,4,1,4,1,6,1,1,1,1,4,1,1,2,0,0,0,0,0,16,Moderately High Risk,Average
Invesco India Global Equity Income FoF Dir,solution-oriented,Equity: International,Direct,22.5,22.45,16.72,BSE 500 TRI,0.79,13.68,12.33,,,1.23,14.29,23.42,,,,,1,https://www.valueresearchonline.com/funds/26149/,INF205K01B49,129188,,,,,,,1,3,1,5,2,4,1,7,1,1,1,1,4,1,1,2,0,0,0,0,0,18,Moderately High Risk,Average
Invesco India Pan European Equity FoF Dir,solution-oriented,Equity: International,Direct,35.25,19.81,14.4,BSE 500 TRI,0.79,13.68,12.33,,,0.99,14.92,20.61,,,,,1,https://www.valueresearchonline.com/funds/23314/,INF205K01A24,126353,,,,,,,1,2,1,4,2,4,1,7,1,1,1,1,4,1,1,2,0,0,0,0,0,17,Moderately High Risk,Average
Kotak Global Emerging Market Overseas Equity Omni FoF Dir*,solution-oriented,Equity: International,Direct,64.26,28.79,11.93,BSE 500 TRI,0.79,13.68,12.33,,,1.31,17.3,28.49,,,,,1,https://www.valueresearchonline.com/funds/17439/,INF174K01LW4,119779,,,,,,,1,3,1,5,1,4,1,6,1,1,1,1,4,1,1,2,0,0,0,0,0,17,Moderately High Risk,Average
Kotak Global Innovation Overseas Equity Omni FoF Dir*,solution-oriented,Equity: International,Direct,36.69,23.53,,BSE 500 TRI,0.79,13.68,,,,1.12,16.34,24.12,,,,,2,https://www.valueresearchonline.com/funds/41595/,INF174KA1HG4,149059,,,,,,,1,3,1,5,1,4,1,6,1,1,1,1,4,1,1,2,0,0,0,0,0,17,Moderately High Risk,Average
Kotak International REIT Overseas Equity Omni FoF Dir*,solution-oriented,Equity: International,Direct,13.53,10.7,3.45,BSE 500 TRI,0.79,13.68,12.33,,,0.38,15.82,11.85,,,,,1,https://www.valueresearchonline.com/funds/41237/,INF174KA1FO2,148646,,,,,,,1,1,1,3,1,2,1,4,1,1,1,1,4,1,1,2,0,0,0,0,0,13,Moderately High Risk,Average
Kotak Quality Overseas Equity Omni FoF Dir*,solution-oriented,Equity: International,Direct,,,,BSE 500 TRI,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45906/,INF178L01BY0,133791,,,,,,,1,1,1,3,1,1,1,3,1,1,1,1,4,1,1,2,0,0,0,0,0,12,High Risk,Poor
Kotak US Specific Equity Passive FoF Dir*,solution-oriented,Equity: International,Direct,45.33,31.45,21.16,BSE 500 TRI,0.79,13.68,12.33,,,1.41,18.53,32.02,,,,,1,https://www.valueresearchonline.com/funds/41260/,INF174KA1FQ7,148662,,,,,,,1,3,1,5,1,4,1,6,1,1,1,1,4,1,1,2,0,0,0,0,0,17,Moderately High Risk,Average
Mahindra Manulife Asia Pacific REITs FoF Dir,solution-oriented,Equity: International,Direct,17.24,8.45,,BSE 500 TRI,0.79,13.68,,,,0.29,15.74,10.47,,,,,1,https://www.valueresearchonline.com/funds/41762/,INF174V01AY0,149230,,,,,,,1,1,1,3,1,2,1,4,1,1,1,1,4,1,1,2,0,0,0,0,0,13,Moderately High Risk,Average
Mirae Asset Global Electric & Autonomous Vehicles Eqt Passive FoF Dir,solution-oriented,Equity: International,Direct,80.32,19.72,,BSE 500 TRI,0.79,13.68,,,,0.81,25.51,26.6,,,,,3,https://www.valueresearchonline.com/funds/42460/,INF769K01IQ9,150595,,,,,,,1,2,1,4,1,4,1,6,1,1,1,1,4,1,1,2,0,0,0,0,0,16,Moderately High Risk,Average
Mirae Asset Global X Artificial Intelligence & Tech ETF FoF Dir,solution-oriented,Equity: International,Direct,63.6,38.87,,BSE 500 TRI,0.79,13.68,,,,1.44,23.1,39.22,,,,,1,https://www.valueresearchonline.com/funds/42458/,INF769K01IS5,150597,,,,,,,1,3,1,5,1,4,1,6,1,1,1,1,4,1,1,2,0,0,0,0,0,17,Moderately High Risk,Average
Mirae Asset Hang Seng TECH ETF,solution-oriented,Equity: International,Direct,-9.56,9.59,,BSE 500 TRI,0.79,13.68,,,,0.42,33.8,20.1,,,,,25,https://www.valueresearchonline.com/funds/41876/,INF769K01HT5,149380,,,,,,,1,1,1,3,1,4,1,6,1,1,1,1,4,1,3,4,0,0,0,0,0,17,Moderately High Risk,Average
Mirae Asset Hang Seng TECH ETF FoF Dir,solution-oriented,Equity: International,Direct,-2.58,15.31,,BSE 500 TRI,0.79,13.68,,,,0.59,32.61,25.03,,,,,1,https://www.valueresearchonline.com/funds/41878/,INF769K01HU3,149381,,,,,,,1,2,1,4,1,4,1,6,1,1,1,1,4,1,1,2,0,0,0,0,0,16,Moderately High Risk,Average
Mirae Asset NYSE FANG+ ETF,solution-oriented,Equity: International,Direct,24.04,34.55,23.33,BSE 500 TRI,0.79,13.68,12.33,,,1.49,21.97,38.54,,,,,10,https://www.valueresearchonline.com/funds/41429/,INF769K01HG2,148929,,,,,,,1,3,1,5,1,4,1,6,1,1,1,1,4,1,1,2,0,0,0,0,0,17,Moderately High Risk,Average
Mirae Asset NYSE FANG+ ETF FoF Dir,solution-oriented,Equity: International,Direct,36.82,44.05,28.28,BSE 500 TRI,0.79,13.68,12.33,,,1.6,23.58,43.69,,,,,1,https://www.valueresearchonline.com/funds/41431/,INF769K01HH0,148928,,,,,,,1,4,1,6,1,4,1,6,1,1,1,1,4,1,1,2,0,0,0,0,0,18,Moderately High Risk,Average
Mirae Asset S&P 500 Top 50 ETF,solution-oriented,Equity: International,Direct,28.07,25.85,,BSE 500 TRI,0.79,13.68,,,,1.53,14.69,28.34,,,,,25,https://www.valueresearchonline.com/funds/41698/,INF769K01HQ1,149171,,,,,,,1,4,1,6,2,4,1,7,1.5,1,1,1,4.5,1,1,2,0,0,0,0,0,19.5,Moderately High Risk,Average
Mirae Asset S&P 500 Top 50 ETF FoF Dir,solution-oriented,Equity: International,Direct,40.09,34.58,,BSE 500 TRI,0.79,13.68,,,,1.54,18.74,34.65,,,,,1,https://www.valueresearchonline.com/funds/41704/,INF769K01HR9,149170,,,,,,,1,4,1,6,1,4,1,6,1,1,1,1,4,1,1,2,0,0,0,0,0,18,Moderately High Risk,Average
Motilal Oswal Developed Mkt Ex US ETFs Ovrses Eqt Pass FoF Dir,solution-oriented,Equity: International,Direct,34.9,,,BSE 500 TRI,0.79,,,,,,,,,,,,2,https://www.valueresearchonline.com/funds/43802/,INF247L01734,145834,,,,,,,1,1,1,3,1,1,1,3,1,1,1,1,4,1,1,2,0,0,0,0,0,12,High Risk,Poor
Motilal Oswal NASDAQ 100 ETF,solution-oriented,Equity: International,Direct,45.24,31.43,21.11,BSE 500 TRI,0.79,13.68,12.33,,,1.45,17.64,31.36,,,,,25,https://www.valueresearchonline.com/funds/12498/,INF247L01726,145553,,,,,,,1,3,1,5,1,4,1,6,2,1,1,1,5,1,1,2,0,0,0,0,0,18,Moderately High Risk,Average
Motilal Oswal Nasdaq 100 FOF Dir,solution-oriented,Equity: International,Direct,75.65,39.29,24.93,BSE 500 TRI,0.79,13.68,12.33,,,1.26,26.41,39.03,,,,,1,https://www.valueresearchonline.com/funds/38228/,INF247L01718,145552,,,,,,,1,3,1,5,1,4,1,6,1,1,1,1,4,1,1,2,0,0,0,0,0,17,Moderately High Risk,Average
Motilal Oswal Nasdaq Q50 ETF,solution-oriented,Equity: International,Direct,64.65,30.76,,BSE 500 TRI,0.79,13.68,,,,1.24,19.56,30.05,,,,,25,https://www.valueresearchonline.com/funds/41923/,INF247L01742,145555,,,,,,,1,3,1,5,1,4,1,6,1.5,1,1,1,4.5,1,1.5,2.5,0,0,0,0,0,18.0,Moderately High Risk,Average
Motilal Oswal S&P 500 Index Dir,solution-oriented,Equity: International,Direct,32.83,25.14,17.44,BSE 500 TRI,0.79,13.68,12.33,,,1.45,13.61,25.62,,,,,25,https://www.valueresearchonline.com/funds/40997/,INF247L01AG2,148381,,,,,,,1,3,1,5,2,4,1,7,2,1,1,1,5,1.5,1.5,3.0,0,0,0,0,0,20.0,Moderate Risk,Average
Navi Nasdaq100 US Specific Equity Passive FoF Dir,solution-oriented,Equity: International,Direct,45.23,31.67,,BSE 500 TRI,0.79,13.68,,,,1.39,18.74,31.93,,,,,1,https://www.valueresearchonline.com/funds/42135/,INF959L01FZ1,149910,,,,,,,1,3,1,5,1,4,1,6,1,1,1,1,4,1,1,2,0,0,0,0,0,17,Moderately High Risk,Average
Navi Total Stock Market US Specific Equity Passive FoF Dir,solution-oriented,Equity: International,Direct,33.96,25.74,,BSE 500 TRI,0.79,13.68,,,,1.35,15.06,26.24,,,,,1,https://www.valueresearchonline.com/funds/42069/,INF959L01FV0,149830,,,,,,,1,3,1,5,1,4,1,6,1,1,1,1,4,1,1,2,0,0,0,0,0,17,Moderately High Risk,Average
Nippon India ETF Hang Seng BeES,solution-oriented,Equity: International,Direct,5.56,15.08,2.51,BSE 500 TRI,0.79,13.68,12.33,,,0.71,20.31,20.19,,,,,25,https://www.valueresearchonline.com/funds/10905/,INF204KA1QN5,130175,,,,,,,1,2,1,4,1,4,1,6,1,1,1,1,4,1,1,2,0,0,0,0,0,16,Moderately High Risk,Average
Nippon India Japan Equity Dir,solution-oriented,Equity: International,Direct,36.73,20.03,11.03,BSE 500 TRI,0.79,13.68,12.33,,,1.07,14.3,21.11,,,,,25,https://www.valueresearchonline.com/funds/27691/,INF204KA1SK7,130861,,,,,,,1,3,1,5,2,4,1,7,1,1,1,1,4,1,3,4,0,0,0,0,0,20,Moderate Risk,Average
Nippon India Taiwan Equity Dir,solution-oriented,Equity: International,Direct,185.47,62.79,,BSE 500 TRI,0.79,13.68,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/41838/,INF204KC1303,149329,,,,,,,1,1,1,3,1,1,1,3,1,1,1,1,4,1,1,2,0,0,0,0,0,12,High Risk,Poor
Nippon India US Equity Opportunities Dir*,solution-oriented,Equity: International,Direct,13.84,17.71,10.54,BSE 500 TRI,0.79,13.68,12.33,,,0.98,14.26,19.87,,,,,25,https://www.valueresearchonline.com/funds/30567/,INF204KA15G5,134923,,,,,,,1,2,1,4,2,4,1,7,1,1,1,1,4,1,1,2,0,0,0,0,0,17,Moderately High Risk,Average
PGIM India Emerging Markets Equity FoF Dir,solution-oriented,Equity: International,Direct,51.29,30.34,5.03,BSE 500 TRI,0.79,13.68,12.33,,,1.33,18.67,30.63,,,,,1,https://www.valueresearchonline.com/funds/17349/,INF223J01NL0,138456,,,,,,,1,3,1,5,1,4,1,6,1,1,1,1,4,1,1,2,0,0,0,0,0,17,Moderately High Risk,Average
PGIM India Global Equity Opportunities FoF Dir,solution-oriented,Equity: International,Direct,24.66,20.44,8.92,BSE 500 TRI,0.79,13.68,12.33,,,0.83,18.6,21.26,,,,,1,https://www.valueresearchonline.com/funds/17348/,INF223J01NF2,138528,,,,,,,1,2,1,4,1,4,1,6,1,1,1,1,4,1,1,2,0,0,0,0,0,16,Moderately High Risk,Average
PGIM India Global Select Real Estate Sec FoF Dir,solution-oriented,Equity: International,Direct,25.43,17.33,,BSE 500 TRI,0.79,13.68,,,,0.7,14.84,16.32,,,,,1,https://www.valueresearchonline.com/funds/41818/,INF663L01W63,149298,,,,,,,1,2,1,4,2,3,1,6,1,1,1,1,4,1,1,2,0,0,0,0,0,16,Moderately High Risk,Average
SBI US Specific Equity Active FoF FoF Dir,solution-oriented,Equity: International,Direct,35.53,27.37,17.09,BSE 500 TRI,0.79,13.68,12.33,,,1.49,15.11,28.37,,,,,1,https://www.valueresearchonline.com/funds/41352/,INF200KA1U28,148760,,,,,,,1,3,1,5,1,4,1,6,1,1,1,1,4,1,1,2,0,0,0,0,0,17,Moderately High Risk,Average
Sundaram Global Brand Theme-Equity Active FoF Dir*,solution-oriented,Equity: International,Direct,23.03,17.53,11.77,BSE 500 TRI*,0.79,13.68,12.33,,,1.06,13.33,19.98,,,,,1,https://www.valueresearchonline.com/funds/17200/,INF903J01OB6,119602,,,,,,,1,3,1,5,2,4,1,7,1,1,1,1,4,1,1,2,0,0,0,0,0,18,Moderately High Risk,Average
ABSL Conglomerate Dir,solution-oriented,Equity: Thematic (Broad),Direct,1.84,,,BSE 500 TRI,0.79,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44788/,INF209KC1373,153124,,,,,,,1,1,1,3,1,1,1,3,1,1,1,1,4,1.5,2,3.5,0,0,0,0,0,13.5,Moderately High Risk,Average
ABSL Nifty India Defence Index Dir,solution-oriented,Equity: Thematic (Broad),Direct,8.21,,,BSE 500 TRI,0.79,,,,,,,,,,,,19,https://www.valueresearchonline.com/funds/44489/,INF209KC1183,152798,,,,,,,1,1,1,3,1,1,1,3,1,1,1,1,4,1,1,2,0,0,0,0,0,12,High Risk,Poor
ABSL Special Opportunities Dir,solution-oriented,Equity: Thematic (Broad),Direct,14.81,22.23,16.41,BSE 500 TRI,0.79,13.68,12.33,7.06,0.97,0.97,15.34,20.68,,,,,25,https://www.valueresearchonline.com/funds/41143/,INF209KB1T79,148539,,,,,,,4,2,1,7,1,4,1,6,1.5,1.5,1.5,1,5.5,2,2,4,0,0,0,0,0,22.5,Moderate Risk,Average
Axis BSE India Sector Leaders Index Dir,solution-oriented,Equity: Thematic (Broad),Direct,,,,BSE 500 TRI,,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45782/,INF846KA1424,154171,,,,,,,1,1,1,3,1,1,1,3,1.5,1.5,1.5,1.5,6.0,2,1.5,3.5,0,0,0,0,0,15.5,Moderately High Risk,Average
Axis Momentum Dir,solution-oriented,Equity: Thematic (Broad),Direct,-4.8,,,BSE 500 TRI,0.79,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44768/,INF846K011Z9,153083,,,,,,,1,1,1,3,1,1,1,3,1,1,1.5,1,4.5,1.5,1.5,3.0,0,0,0,0,0,13.5,Moderately High Risk,Average
Axis Multi Factor Passive FoF Dir,solution-oriented,Equity: Thematic (Broad),Direct,2.59,11.4,,BSE 500 TRI,0.79,13.68,,-0.93,0.95,0.45,14.92,12.55,,,,,4,https://www.valueresearchonline.com/funds/42080/,INF846K011G9,149847,,,,,,,1,1,1,3,2,3,1,6,1,1,1,1,4,1,1,2,0,0,0,0,0,15,Moderately High Risk,Average
Axis Nifty India Defence Index Dir,solution-oriented,Equity: Thematic (Broad),Direct,,,,BSE 500 TRI,,,,,,,,,,,,,19,https://www.valueresearchonline.com/funds/45950/,INF846KA1523,154326,,,,,,,1,1,1,3,1,1,1,3,1,1,1,1,4,1,1,2,0,0,0,0,0,12,High Risk,Poor
Axis Services Opportunities Dir,solution-oriented,Equity: Thematic (Broad),Direct,,,,BSE 500 TRI,,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45324/,INF846KA1168,153624,,,,,,,1,1,1,3,1,1,1,3,1,1,1,1,4,1,1,2,0,0,0,0,0,12,High Risk,Poor
Bandhan BSE India Sector Leaders Index Dir,solution-oriented,Equity: Thematic (Broad),Direct,,,,BSE 500 TRI,,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45461/,INF194KB1KB4,153838,,,,,,,1,1,1,3,1,1,1,3,1.5,1.5,1.5,1.5,6.0,2,1.5,3.5,0,0,0,0,0,15.5,Moderately High Risk,Average
Bandhan Multi-Factor Dir,solution-oriented,Equity: Thematic (Broad),Direct,,,,BSE 500 TRI,,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45334/,INF194KB1JX0,153722,,,,,,,1,1,1,3,1,1,1,3,1,1.5,2,1,5.5,3,2,5,0,0,0,0,0,16.5,Moderately High Risk,Average
Baroda BNP Paribas Business Conglomerates Dir,solution-oriented,Equity: Thematic (Broad),Direct,,,,BSE 500 TRI,,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45458/,INF251K01VJ6,153847,,,,,,,1,1,1,3,1,1,1,3,1,1,1,1,4,1.5,1.5,3.0,0,0,0,0,0,13.0,Moderately High Risk,Average
Edelweiss BSE Capital Mkts & Insurance ETF,solution-oriented,Equity: Thematic (Broad),Direct,2.35,,,BSE 500 TRI,0.79,,,,,,,,,,,,24,https://www.valueresearchonline.com/funds/44826/,INF754K01KM5,153437,,,,,,,1,1,1,3,1,1,1,3,1,1,1,1,4,1,1,2,0,0,0,0,0,12,High Risk,Poor
Edelweiss BSE Internet Economy Index Dir,solution-oriented,Equity: Thematic (Broad),Direct,-2.64,,,BSE 500 TRI,0.79,,,,,,,,,,,,20,https://www.valueresearchonline.com/funds/45129/,INF754K01UX2,153497,,,,,,,1,1,1,3,1,1,1,3,1,1,1,1,4,1,1,2,0,0,0,0,0,12,High Risk,Poor
Edelweiss Recently Listed IPO Dir,solution-oriented,Equity: Thematic (Broad),Direct,19.24,20.02,14.36,BSE 500 TRI,0.79,13.68,12.33,5.68,1.07,0.69,20.61,20.12,,,,,25,https://www.valueresearchonline.com/funds/35234/,INF754K01ML4,142388,,,,,,,4,2,1,7,1,4,1,6,1.5,1.5,1.5,1,5.5,1,1,2,0,0,0,0,0,20.5,Moderate Risk,Average
Franklin India Multi-Factor Dir,solution-oriented,Equity: Thematic (Broad),Direct,,,,BSE 500 TRI,,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45585/,INF090I01YQ1,153942,,,,,,,1,1,1,3,1,1,1,3,1.5,1.5,1.5,1,5.5,3,2,5,0,0,0,0,0,16.5,Moderately High Risk,Average
Franklin India Opportunities Dir,solution-oriented,Equity: Thematic (Broad),Direct,4.78,25.59,20.15,BSE 500 TRI,0.79,13.68,12.33,10.01,1.06,1.04,17.69,24.32,,,,,25,https://www.valueresearchonline.com/funds/15999/,INF090I01JI9,118554,,,,,,,4,3,1,8,1,4,1,6,1.5,1.5,1.5,1,5.5,2,2,4,0,0,0,0,0,23.5,Moderate Risk,Average
Groww BSE Power ETF,solution-oriented,Equity: Thematic (Broad),Direct,,,,BSE 500 TRI,,,,,,,,,,,,,18,https://www.valueresearchonline.com/funds/45370/,INF666M01LQ7,153748,,,,,,,1,1,1,3,1,1,1,3,1,1,1,1,4,1.5,2,3.5,0,0,0,0,0,13.5,Moderately High Risk,Average
Groww BSE Power ETF FOF Dir,solution-oriented,Equity: Thematic (Broad),Direct,,,,BSE 500 TRI,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45373/,INF666M01LN4,153745,,,,,,,1,1,1,3,1,1,1,3,1,1,1,1,4,1,1,2,0,0,0,0,0,12,High Risk,Poor
Groww Nifty Capital Markets ETF,solution-oriented,Equity: Thematic (Broad),Direct,,,,BSE 500 TRI,,,,,,,,,,,,,17,https://www.valueresearchonline.com/funds/45632/,INF666M01MJ0,153918,,,,,,,1,1,1,3,1,1,1,3,1,1,1,1,4,1,1,2,0,0,0,0,0,12,High Risk,Poor
Groww Nifty Capital Markets ETF FoF Dir,solution-oriented,Equity: Thematic (Broad),Direct,,,,BSE 500 TRI,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45628/,INF666M01MG6,153908,,,,,,,1,1,1,3,1,1,1,3,1,1,1,1,4,1,1,2,0,0,0,0,0,12,High Risk,Poor
Groww Nifty Chemicals ETF,solution-oriented,Equity: Thematic (Broad),Direct,,,,BSE 500 TRI,,,,,,,,,,,,,20,https://www.valueresearchonline.com/funds/45751/,INF666M01MN9,153920,,,,,,,1,1,1,3,1,1,1,3,1,1,1,1,4,1,1.5,2.5,0,0,0,0,0,12.5,High Risk,Poor
Groww Nifty India Defence ETF,solution-oriented,Equity: Thematic (Broad),Direct,8.23,,,BSE 500 TRI,0.79,,,,,,,,,,,,19,https://www.valueresearchonline.com/funds/44590/,INF666M01IT7,152927,,,,,,,1,1,1,3,1,1,1,3,1,1,1,1,4,1,1,2,0,0,0,0,0,12,High Risk,Poor
Groww Nifty India Defence ETF FoF Dir,solution-oriented,Equity: Thematic (Broad),Direct,7.99,,,BSE 500 TRI,0.79,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/44597/,INF666M01IQ3,152925,,,,,,,1,1,1,3,1,1,1,3,1,1,1,1,4,1,1,2,0,0,0,0,0,12,High Risk,Poor
Groww Nifty India Internet ETF,solution-oriented,Equity: Thematic (Broad),Direct,,,,BSE 500 TRI,,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45241/,INF666M01LF0,153633,,,,,,,1,1,1,3,1,1,1,3,1,1,1,1,4,1,1.5,2.5,0,0,0,0,0,12.5,High Risk,Poor
Groww Nifty India Internet ETF FoF Dir,solution-oriented,Equity: Thematic (Broad),Direct,,,,BSE 500 TRI,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45244/,INF666M01LC7,153626,,,,,,,1,1,1,3,1,1,1,3,1,1,1,1,4,1,1,2,0,0,0,0,0,12,High Risk,Poor
Groww Nifty Metal ETF,solution-oriented,Equity: Thematic (Broad),Direct,,,,BSE 500 TRI,,,,,,,,,,,,,19,https://www.valueresearchonline.com/funds/45677/,INF666M01MK5,153916,,,,,,,1,1,1,3,1,1,1,3,1,1,1,1,4,1,1,2,0,0,0,0,0,12,High Risk,Poor
Groww Nifty Realty ETF,solution-oriented,Equity: Thematic (Broad),Direct,,,,BSE 500 TRI,,,,,,,,,,,,,10,https://www.valueresearchonline.com/funds/45522/,INF666M01MM1,153918,,,,,,,1,1,1,3,1,1,1,3,1,1,1,1,4,1,1.5,2.5,0,0,0,0,0,12.5,High Risk,Poor
HDFC BSE India Sector Leaders Index Dir,solution-oriented,Equity: Thematic (Broad),Direct,,,,BSE 500 TRI,,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45589/,INF179KC1JY6,153959,,,,,,,1,1,1,3,1,1,1,3,1.5,1.5,1.5,1.5,6.0,2,1.5,3.5,0,0,0,0,0,15.5,Moderately High Risk,Average
HDFC Defence Dir,solution-oriented,Equity: Thematic (Broad),Direct,17,44.15,,BSE 500 TRI,0.79,13.68,,,,,,,,,,,23,https://www.valueresearchonline.com/funds/43512/,INF179KC1GI5,151750,,,,,,,1,1,1,3,1,1,1,3,1,1,1,1,4,1,1,2,0,0,0,0,0,12,High Risk,Poor
HDFC Housing Opportunities Dir,solution-oriented,Equity: Thematic (Broad),Direct,-2.38,15.36,14.26,BSE 500 TRI,0.79,13.68,12.33,1.81,1.14,0.59,18.49,16.75,,,,,25,https://www.valueresearchonline.com/funds/34770/,INF179KC1AU3,141924,,,,,,,2,2,1,5,1,3,1,5,1,1,1,1,4,3,2,5,0,0,0,0,0,19,Moderately High Risk,Average
HDFC NIFTY Growth Sectors 15 ETF,solution-oriented,Equity: Thematic (Broad),Direct,-5.44,6.03,,BSE 500 TRI,0.79,13.68,,-5.07,0.78,0.08,15.06,7.05,,,,,15,https://www.valueresearchonline.com/funds/42537/,INF579M01AL6,151164,,,,,,,1,1,1,3,1,1,1,3,1,1,1,1,4,1.5,1,2.5,0,0,0,0,0,12.5,High Risk,Poor
HDFC NIFTY Realty Index Dir,solution-oriented,Equity: Thematic (Broad),Direct,-19.04,,,BSE 500 TRI,0.79,,,,,,,,,,,,10,https://www.valueresearchonline.com/funds/44211/,INF179K01VS0,119116,,,,,,,1,1,1,3,1,1,1,3,1,1,1,1,4,1,1.5,2.5,0,0,0,0,0,12.5,High Risk,Poor
HSBC India Export Opportunities Dir,solution-oriented,Equity: Thematic (Broad),Direct,11.85,,,BSE 500 TRI,0.79,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44524/,INF336L01RO1,152829,,,,,,,1,1,1,3,1,1,1,3,1,1.5,1.5,1,5.0,1,1.5,2.5,0,0,0,0,0,13.5,Moderately High Risk,Average
ICICI Pru Active Momentum Dir,solution-oriented,Equity: Thematic (Broad),Direct,,,,BSE 500 TRI,,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45357/,INF109K1A385,153684,,,,,,,1,1,1,3,1,1,1,3,1,1.5,2,1,5.5,1.5,1.5,3.0,0,0,0,0,0,14.5,Moderately High Risk,Average
ICICI Pru Commodities Dir,solution-oriented,Equity: Thematic (Broad),Direct,12.69,18.89,16.65,BSE 500 TRI,0.79,13.68,12.33,7.64,0.97,0.91,16.84,21.26,,,,,25,https://www.valueresearchonline.com/funds/40306/,INF109KC1F91,147662,,,,,,,4,2,1,7,1,4,1,6,1,1,1,1,4,1.5,2,3.5,0,0,0,0,0,20.5,Moderate Risk,Average
ICICI Pru Conglomerate Dir,solution-oriented,Equity: Thematic (Broad),Direct,,,,BSE 500 TRI,,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45489/,INF109K1A427,153867,,,,,,,1,1,1,3,1,1,1,3,1,1,1.5,1,4.5,2,1.5,3.5,0,0,0,0,0,14.0,Moderately High Risk,Average
ICICI Pru Eqt Minimum Variance Fund Dir,solution-oriented,Equity: Thematic (Broad),Direct,0.75,,,BSE 500 TRI,0.79,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44744/,INF109KC10Y6,153070,,,,,,,1,1,1,3,1,1,1,3,1,1,1.5,1,4.5,2,1.5,3.5,0,0,0,0,0,14.0,Moderately High Risk,Average
ICICI Pru Exports & Services Dir,solution-oriented,Equity: Thematic (Broad),Direct,1.8,18.5,16.4,BSE 500 TRI,0.79,13.68,12.33,5.01,0.85,0.88,13.46,17.67,,,,,25,https://www.valueresearchonline.com/funds/15859/,INF109K01W25,120688,,,,,,,4,2,1,7,2,3,1,6,1.5,1.5,1.5,1,5.5,2,1.5,3.5,0,0,0,0,0,22.0,Moderate Risk,Average
